region;nr;ausfuehrung;ort;seit;anmerkung;lage
Saarland;;Bachem;2024;Initiiert vom Jugendrotkreuz in Kooperation mit dem Ortsrat und einigen ehrenamtlichen Helferinnen und Helfern;⊙Am Friedhof neben der Kirche: Gartenstraße 4;
Saarland;;Beckingen;;initiiert vom Ortsrat in Kooperation mit der KÖB Beckingen und der Gemeinde Beckingen.Öffnungszeiten: Montag–Samstag von 8–20 Uhr;⊙Parkstraße 3;
Saarland;;Blieskastel;2016;;⊙Haus des Bürgers, Luitpoldplatz 5;
Saarland;;Bübingen;;Verschenkeschrank, nicht nur für Bücher, jederzeit zugänglich;⊙Ecke Sandweg/Gartenstraße, Bübingen;
Saarland;;Bübingen;;Verschenkeschrank 2, nicht nur für Bücher, jederzeit zugänglich;⊙Saargemünder Straße, Bübingen;
Saarland;;Dirmingen;;Bücherschrank im Naherholungsgebiet Dirmingen;LageNaherholungsgebiet Finkenrech;
Saarland;;Einöd;;Apostelkirche – Prot. Kirchengemeinde Einödjederzeit zugänglich;⊙Hauptstraße 52;
Saarland;;Emmersweiler;;Offenes Bücherregal Warndt, jederzeit zugänglich;⊙Lothringer Str. 6;
Saarland;;Ensdorf;2019;Medienzelle, errichtet vom AWO Ortsverein mit Unterstützung der Gemeinde Ensdorf und der Aktion Mensch. Als Inhalt auch andere Medien möglich (CDs, DVDs, VHS-Kassetten, Hörbücher). Die Medienzelle ist rund um die Uhr geöffnet, daneben befindet sich eine passende Sitzbank zum Schmökern.;⊙Marktplatz Ensdorf/Saar[1][2][3];
Saarland;;Heusweiler-Wahlschied;;jederzeit zugänglich;⊙Friedhofstraße, am Dorfplatz[4];
Saarland;;Eppelborn-Habach;;jederzeit zugänglich;⊙Großwaldstraße, neben dem Bürgerhaus;
Saarland;;Furschweiler;27. Apr. 2025;initiiert vom Kirchbauverein und dem KirchengemeinderatSt. Anna Furschweiler, jederzeit zugänglich;⊙neben der katholischen PfarrkircheSt. Annain der Freisener Straße;
Saarland;;Gresaubach;2022;Historischer Verein Gresaubach – zu den Öffnungszeiten der KSK zugänglich[5];⊙im Gebäude der Kreissparkasse, Lebacher Straße 2;
Saarland;;Gronig;2017;;⊙Dorfgemeinschaftshaus[6];
Saarland;;Haustadt;10. Apr. 2024;Aufstellung durch den Ortsrat, jederzeit zugänglich;⊙Oppener Ecken, gegenüber Sparkasse;
Saarland;;Hirstein;2021;jederzeit zugänglich;⊙Feuerwehrhaus;
Saarland;;Homburg;2013;Öffnungszeiten der Kreisverwaltung;⊙Kreisverwaltung Saarpfalz-Kreis, Am Forum 1;
Saarland;;Homburg;2015;;⊙Bushaltestelle Christian-Weber-Platz, Talstraße 23;
Saarland;;Illingen;2012;jederzeit zugänglich;⊙Arbeiter-Samariter-Bund, Poststraße 7;
Saarland;;Leitersweiler;;jederzeit zugänglich;⊙vor der Kirche St. Petrus zu Leitersweiler, Oberdorfstraß 1;
Saarland;;Merchweiler;2021;durchgehend geöffnet;⊙Allenfeldstraße 3, auf dem Parkplatz der Bergapotheke[7];
Saarland;;Neunkirchen;;Öffnungszeiten des Zoos Neunkirchen;⊙imZoo Neunkirchen, in der Nähe der Zoo-Schule;
Saarland;;Neunkirchen;Apr. 2021;initiiert und betreut von der Bürgerinitiative Stadtmitte[8];⊙Neuer Markt;
Saarland;;Perl;2013;Öffnungszeiten wie Rathaus[9];⊙im Perler Rathaus, Trierer Straße 28;
Saarland;;Püttlingen;;Aufgestellt von den Jusos Püttlingen;⊙Nahe der Grundschule Viktoria;
Saarland;;Rubenheim;2018;"Schrank in alter Bushaltestelle; Richtung Rubenheimer Weiher mit Sitzmöglichkeit";⊙Wittersheimerstraße;
Saarland;;Saarbrücken;2011;Öffnungszeiten des Theaters;⊙im Theater im Viertel, Landwehrplatz 2;
Saarland;;Saarbrücken;2011;Öffnungszeiten des AStA;⊙im AStA, Universität, Gebäude A5.2;
Saarland;;Saarbrücken;2011;Öffnungszeiten des Cafés;⊙im Café der KHG, Universität, Gebäude A3.1;
Saarland;;Saarbrücken;2013;Öffnungszeiten des Cafés;⊙im Kulturcafé, Burbacher Straße 20;
Saarland;;Saarbrücken;2015;Der Bücherschrank sollte Anfang 2016 entfernt werden.[10]Durch einen Kauf durch die Aufbaugesellschaft Saarbrücker Schloss, einer Tochter des Regionalverbands, konnte die Telefonzelle gerettet werden.[11];⊙Schlossplatz, Am Schlossberg 3;
Saarland;;Saarbrücken;;Öffnungszeiten des Cafés;⊙im Café Kostbar, Nauwieserstraße 19;
Saarland;;Saarbrücken;2016;Öffnungszeiten der Bibliothek (SULB);⊙SULB, Universität, Gebäude B1.1[12];
Saarland;;Saarbrücken;2018;;⊙Heinrich-Böcking-Straße 16;
Saarland;;Saarbrücken;2017;Öffnungszeiten des Cafés;⊙im Café Exodus, Johannisstraße 9;
Saarland;;Saarbrücken;2018;"tägl. 14:30–22:00 Uhr; Eingang über Terrasse oder TheaterAlte Feuerwache.";Weinbistro HauckLandwehrplatz 1, 66111 Saarbrücken;
Saarland;;Saarbrücken;;jederzeit zugänglich;⊙Lerchesflurweg 69;
Saarland;;Saarbrücken;2022;[13];⊙Am Homburg;
Saarland;;Saarbrücken-Dudweiler;18. Feb. 2021;"im Bürgerhaus, zugänglich zu dessen Öffnungszeiten; initiiert von der Fraktion „Die Linke“ im Bezirksrat[14]";BürgerhausAm Markt 115, im 1. Obergeschoss des Bürgerhauses;
Saarland;;Saarbrücken-Scheidt;2014;;⊙vor dem Alten Forsthaus Scheidt, Im Flürchen 62a;
Saarland;;Saarwellingen;2015;Öffnungszeiten des Amtes für Jugend, Senioren und Soziales (Schwerpunkt Kinder- und Jugendliteratur, es gibt auch einige Spiele);⊙Engelstraße 12, neben dem Haus der Jugend;
Saarland;;Saarwellingen;10. März 2022;jederzeit zugänglich;⊙Viktoriastraße 22, neben dem Seniorenzentrum Seniorenpflegeheim Schulze-Kathrinhof[16];
Saarland;;Schiffweiler;;jederzeit zugänglich;⊙Dorfplatz Schiffweiler;
Saarland;;St. Ingbert;2022;Öffnungszeit der Videothek;⊙Videothek Tape-o-Mania, Rickertstraße 10a;
Saarland;;St. Ingbert;2025;jederzeit zugänglich[17];⊙Wilhelm-Chandon-Platz;
Saarland;;St. Ingbert-Rohrbach;2024;Öffnungszeit der Edelweißhütte;⊙Edelweißhütte, Am Gutenbergring 2;
Saarland;;St. Wendel;2018;jederzeit frei zugänglich;⊙Wendelinushof;
Saarland;;Völklingen-Lauterbach;2021;jederzeit zugänglich;⊙Grundschule, Fröbelstr. 14;
Saarland;;Wadern;2015;Aufgestellt von der Stadtbibliothek Wadern;⊙Marktplatz, Ecke Oberstraße vor dem Rathaus;
Saarland;;Freisen;2016;zerstört[18];⊙Alois-Stock-Platz;
Baden-Württemberg;Freiburg;Liste öffentlicher Bücherschränke in Freiburg im Breisgau;18;00237.460;~ 13.000;
Baden-Württemberg;Landkreis;21;00272.558;~ 13.000;1.378,33;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Emmendingen;00169.787;~ 14.000;679,81;~066;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Konstanz;00291.841;~ 22.000;817,97;~063;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Lörrach;00238.263;~ 21.000;806,67;~073;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Ortenaukreis;00444.858;~ 23.000;1.860,30;~098;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Rottweil;00140.237;~ 23.000;769,43;~ 128;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Schwarzwald-Baar-Kreis;00214.065;~ 19.000;1.025,34;~093;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Tuttlingen;00145.208;~ 12.000;734,37;~061;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Waldshut;00171.579;~ 29.000;1.131,13;~ 188;
Baden-Württemberg;Karlsruhe;Liste öffentlicher Bücherschränke in Baden-Baden;4;00056.881;~ 14.000;
Baden-Württemberg;Liste öffentlicher Bücherschränke in Heidelberg;00155.756;~08.000;108,83;~005;
Baden-Württemberg;Liste öffentlicher Bücherschränke in Karlsruhe;00309.050;~08.000;173,42;~005;
Baden-Württemberg;Liste öffentlicher Bücherschränke in Mannheim;00318.035;~ 23.000;144,97;~010;
Baden-Württemberg;Liste öffentlicher Bücherschränke in Pforzheim;00134.912;~ 11.000;97,99;~008;
Baden-Württemberg;Landkreis;11;00161.251;~ 15.000;797,32;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Enzkreis;00199.745;~ 18.000;573,61;~052;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Freudenstadt;00121.958;~ 24.000;870,41;~ 174;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Karlsruhe;00456.264;~ 16.000;1.084,97;~039;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Neckar-Odenwald-Kreis;00145.263;~ 9.000;1.125,95;~066;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Rastatt;00230.737;~ 16.000;738,44;~053;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Rhein-Neckar-Kreis;00558.561;~ 11.000;1.061,54;~021;
Baden-Württemberg;Stuttgart;Liste öffentlicher Bücherschränke in Stuttgart;30;00612.663;~ 20.000;
Baden-Württemberg;Liste öffentlicher Bücherschränke in Heilbronn;00131.986;~ 19.000;99,90;~014;
Baden-Württemberg;Landkreis;28;00395.167;~ 14.000;617,78;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Esslingen;00536.601;~ 24.000;641,28;~029;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Göppingen;00258.809;~ 17.000;642,32;~043;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Heidenheim;00135.235;~ 19.000;627,12;~090;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Heilbronn;00353.877;~ 12.000;1.099,94;~037;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Hohenlohekreis;00115.644;~ 13.000;776,76;~086;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Ludwigsburg;00535.374;~ 8.000;686,77;~011;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Main-Tauber-Kreis;00133.169;~05.000;1.304,12;~047;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Ostalbkreis;00317.427;~ 23.000;1.511,38;~ 108;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Rems-Murr-Kreis;00440.696;~ 13.000;858,09;~025;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Schwäbisch Hall;00200.902;~ 10.000;1.484,06;~074;
Baden-Württemberg;Tübingen;Liste öffentlicher Bücherschränke in Ulm;12;00129.882;~ 11.000;
Baden-Württemberg;Landkreis;9;00202.354;~ 22.000;1.358,54;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Biberach;00207.415;~ 35.000;1.409,49;~ 234;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Bodenseekreis;00220.804;~ 11.000;664,74;~032;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Ravensburg;00291.102;~ 18.000;1.632,08;~ 102;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Reutlingen;00293.483;~ 14.000;1.092,46;~052;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Sigmaringen;00132.167;~ 17.000;1.204,22;~ 150;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Landkreis Tübingen;00233.546;~09.000;519,11;~021;
Baden-Württemberg;Liste öffentlicher Bücherschränke im Zollernalbkreis;00193.326;~ 14.000;917,57;~066;
Baden-Württemberg;Gesamt;794;11.245.898;~ 14.100;35.751,46;
Bayern;;Altdorf bei Nürnberg;⊙Baudergraben 1beim Kulturtreff;Bücherschrank;stand ursprünglich am Schloßplatz[1];
Bayern;;Altdorf bei Nürnberg;⊙Feldweg parallel zum Mühlweg, gegenüber großer Halle. Zufahrt über Feuergasse.;Bücherschrank;Rund um die Uhr zugänglich;
Bayern;;Altdorf bei Nürnberg, StadtteilRöthenbach bei Altdorf;⊙Bushaltestelle in der Parkstraße;Bücherregal;Rund um die Uhr zugänglich;
Bayern;;Ansbach;⊙Bücherschrank am Johann-Sebastian-Bach-Platz;Bücherschrank;;
Bayern;;Ansbach;⊙Bücherschrank an der Schnaitberger Straße;Bücherschrank;Nur Kinder- und Jugendbücher;
Bayern;;Aschaffenburg;⊙Regionaler Omnibusbahnhof;Bücherschrank;"früher am Haltepunkt 5; seit März 2024 verschoben um etwa 50 m[2]";
Bayern;;Aschaffenburg;⊙Im Eingangsbereich des Evangelischen Jugendzentrums auf der rechten Seite;Bücherschrank;"Zugleich Bookcrossing-Zone.[3]Offen Dienstag 13–18 Uhr, Donnerstag 13–21 Uhr, Freitag 14:30–21 Uhr; barrierefrei zugänglich";
Bayern;;Aschaffenburg;⊙Café Schwarzer Riese, Roßmarkt 38a[4];Bücherregal;Zugleich Bookcrossing-Zone,[5]zu den Öffnungszeiten des Cafés zugänglich;
Bayern;;Aschaffenburg;⊙Ecke Bahnhofstraße / Am Obstkeller;Bücherschrank;;
Bayern;;Bad Staffelstein;⊙bei Bahnhofstraße 53–55 (Scheffel-Platz);Bücherschrank;;
Bayern;;Baiersdorf;⊙vor dem Haus Apothekengäßchen 1;Bücherschrank;;
Bayern;;Bamberg;⊙Mitten in Bamberg, vor der Teilbibliothek 5 am Kranen;Bücherschrank;Barrierefreier ZugangIns Leben gerufen wurde er vonAndrea Bartl, Professorin für Neuere Deutsche Literaturwissenschaft, zusammen mit Bamberger Germanistik-Studierenden. Finanziert wurde der Bücherschrank durch Spenden des Rotary Clubs Bamberg-Schloss Geyerswörth.[6];
Bayern;;Bamberg;⊙Rathaus Maxplatz, 3. Stock, direkt vor Zimmer 317;Bücherschrank;"Zugänglich zu Öffnungszeiten des Rathauses, Mo–Do 7:00 bis 18:00 Uhr und Freitag 7:00 bis 14:00 Uhr; barrierefrei erreichbar über Aufzug";
Bayern;;Bamberg;⊙Austraße 14 im Eingangsbereich des Hofcafés;Bücherregal;Barrierefreier Zugang;
Bayern;;Bamberg;⊙Dr.-von-Schmitt-Str. 19;Bücherschrank;Barrierefrei zugänglich zu den Öffnungszeiten des Cafés integra MENSCH:Mo–Fr 8:00 bis 15:00 Uhr;
Bayern;;Bamberg;⊙Quartiersbüro UlanenparkHans Schütz-Str. 3;Bücherschrank;Geöffnet nur zu Öffnungszeiten des Quartierbüros;
Bayern;;Bamberg;⊙An den Wachsbleichen (im Durchgang/Eingang zur Tiefgarage Untere Königsstraße);Bücherschrank;Schrank entworfen von Bernd Wagenhäuser. Eingerichtet von der Stadtbau Bamberg GmbH;
Bayern;;Bamberg;⊙Gartenstädter Markt;Rote Telefonzelle;Gefördert und betreut vom Bürgerverein Gartenstadt und der Stadtbücherei;
Bayern;;Baunach;⊙vor Friedhof St. Magdalena;Graue Telefonzelle;;
Bayern;;Bayreuth;⊙Luitpoldplatz, gegenüber der Sparkasse;Bücherschrank;Barrierefreier Zugang[7];
Bayern;;Breitengüßbach;Brunnenplatz Zückshut – die Zelle soll jährlich den Standort wechseln und wird daher auch die Ortsteile Hohengüßbach und Unteroberndorf erreichen.;Telefonzelle;Betreut durch die Gemeindebücherei Breitengüßbach;
Bayern;;Burghausen;⊙Dorfstr. 32;Bücherschrank;privat initiiert von Familie Schmitt;
Bayern;;Coburg;⊙Am Theaterplatz neben demLandestheater;Bücherschrank;Barrierefreier Zugang;
Bayern;;Coburg;⊙Am Albertsplatz in der Nähe der Bushaltestelle;Bücherschrank;Barrierefreier Zugang;
Bayern;;Coburg;⊙Max-Böhme-Ring, vor Gemeindezentrum der freien evangelischen Gemeinschaft;Telefonzelle;Betreut durch freie evangelische Gemeinschaft;
Bayern;;Collenberg;⊙Im Treppenhaus des Rathauses;Bücherschrank;Öffnungszeiten des Rathauses;
Bayern;;Creußen;⊙Vor dem neuen Rathaus;Telefonzelle;Betreut durch die VHS;
Bayern;;Drosendorf;⊙Bushaltestelle Staatsstraße;Bücherschrank;Bücher-Bushaltestelle, die 24 h geöffnet ist;
Bayern;;Ebermannstadt;⊙Marktplatz;Bücherschrank;Gefördert vomRotary Clubsowie privaten Spendern[8];
Bayern;;Eckersdorf;⊙Beim Edeka am Zeltdach;Bücherschrank;Betreut durch Gemeinde Eckersdorf;
Bayern;;Elsenfeld;⊙Rathausvorplatz, Marienstraße;Telefonzelle;Freunde der Gemeindebibliothek Elsenfeld e. V.;
Bayern;;Enheim(Gemeinde Martinsheim);⊙Rastplatz am offenen Bücherschrank (Ortsausgang Richtung Gnodstadt);Bücherschrank;Kooperation von Landfrauen Enheim/Verein der Freiwilligen Feuerwehr Enheim/Gemeinde Martinsheim;
Bayern;;Erlangen;⊙Kulturzentrum E-Werk, Fuchsenwiese 1;Bücherschrank;Gestaltet vom Erlanger Künstler Dieter Erhard[9];
Bayern;;Erlangen;⊙Vor Nürnberger Straße 4, Nähe ehemaliges Nürnberger Tor;BOKX 02 (Basalt/Stahl/ESG);Gefördert durch denLions Club;
Bayern;;Erlangen, Stadtteil Südwest, GemarkungHüttendorf;⊙Hüttendorfer Straße 1A;Bücherschrank;Der Bücherschrank wurde ungefähr im Herbst 2022 im Rahmen der Aktion „Klimabudget“ neben der Mitfahrbank Richtung Vach an der Kreuzung Michelbacher Straße/Vacher Straße aufgestellt.[10];
Bayern;;Erlangen-Tennenlohe;⊙Bushaltestelle „Tennenlohe Kirche“, Sebastianstraße;Buchhaltestelle;Mit freundlicher Unterstützung der EStW, des Ortsbeirates Tennenlohe und einiger ehrenamtlich engagierter Bürger, geöffnet 24/7;
Bayern;;Feucht;⊙Hauptstraße, im Barockgarten desTucherschlosses;Bücherschrank;Gemeindebücherei Markt Feucht mit Unterstützung durch die Buchhandlung Kuhn in Feucht;
Bayern;;Fürth;⊙Gustavstraße 54;Bücherschrank;Initiiert und betreut vom Kulturamt der Stadt Fürth;
Bayern;;Fürth;⊙Dr.-Konrad-Adenauer-Anlage;Bücherschrank;"Initiiert vom Kulturamt der Stadt Fürth; betreut vom Kulturamt und Paten";
Bayern;;Fürth;⊙Foyer im Kulturforum Fürth;Bücherregal;nur zu den Öffnungszeiten zugänglich;
Bayern;;Goldkronach;⊙Marktplatz;Telefonzelle;Gestiftet von Ingrid und Klaus-Erik Ziesemer;
Bayern;;Großostheim;⊙Promenadenweg, Nähe Mühltörchen neben Kinderspielplatz;Telefonzelle;;
Bayern;;Hafenlohr;⊙Hauptstraße 9, ehemalige Raiffeisenbank-Filiale mit noch bestehendem Geldautomaten, dadurch jederzeit zugänglich;Bücherregal;;
Bayern;;Hallstadt;⊙Literatur im Park;graue Telefonzelle;Stadtbücherei St. Kilian;
Bayern;;Hammelburg;⊙Am Sportzentrum 8;Telefonzelle „lesbar“;"Organisiert von der Stadtbibliothek Hammelburg; nur während des Freibadbetriebes zugänglich";
Bayern;;Hammelburg;⊙Bahnhofstraße 2;Kleinstbibliothek minibib 1;Initiiert von der Stadtbibliothek Hammelburg;
Bayern;;Hammelburg;⊙Westheim, gegenüber Feuerwehrhaus;Kleinstbibliothek minibib 2;Initiiert von der Stadtbibliothek Hammelburg;
Bayern;;Haßfurt;⊙Floriansplatz, neben dem Parkscheinautomaten;Bücherschrank;Initiiert vom Lions-Club Haßberge[12];
Bayern;;Hausen;⊙Hauptstraße 74;alter Kühlschrank;;
Bayern;;Helmbrechts(Oberfranken);⊙Gustav-Weiß-Straße 2, Alte Weberei;Stahlschrank;;
Bayern;;Herzogenaurach;⊙auf Höhe von Bahnhofstraße 5;Bücherschrank;Der vom „Generationen.Zentrum“ betreute Bücherschrank aus Cortenstahl ist von zwei Seiten zu öffnen (die Bildmontage zeigt beide) und steht bei einer Parkanlage in der Nähe des Kreisverkehrs („Postkreisel“ bzw. „Kreisl“) an der Kreuzung An der Schütt / Bahnhofstraße.[13][14];
Bayern;;Herzogenaurach, GemarkungBurgstall, GemeindeteilHauptendorf;⊙Sandleite;Bücherschrank;Die Bildmontage zeigt den vom „Generationen.Zentrum“ betreuten Bücherschrank auf der Rückseite vom Fischhaus.;
Bayern;;Heßdorf;⊙Hannberger Straße 5;Bücherregale;die „Bücher-Spiele Haltestelle“ befindet sich im jederzeit zugänglichen Windfang vor dem Foyer des nach einem Umbau am 26. September 2024 neueröffneten Bürgerbüros der Verwaltungsgemeinschaft Heßdorf[15][16];
Bayern;;Heßdorf, GemeindeteilKlebheim;⊙Höchstadter Straße 4;Bücherschrank;die „Bücher-Spiele Haltestelle“ (ein Metallspind) befindet sich im Buswartehäuschen der Haltestelle „Klebheim“ derVGN-Buslinie 203 (Aisch-Express) in der Nähe desIndischen Restaurants„Noon Mirch“.;
Bayern;;Hirschaid;⊙Rathaus, Kirchplatz 6, Eingangsbereich;Bücherschrank;Zugänglich zu Öffnungszeiten des Rathauses, Montag 7:30–12:00 Uhr,Dienstag 7:30–12:00 Uhr und 14:00–17:00 Uhr,Mittwoch 7:30–12:00 Uhr,Donnerstag 7:30–12:00 Uhr und 14:00–18:00 Uhr,Freitag 7:30–12:00 Uhr;
Bayern;;Hof (Saale);⊙Fabrikzeile 21;Bücherregal;Im Bildungszentrum der VHS Landkreis Hof mit Sitzgelegenheiten und Getränken;
Bayern;;Hof (Saale);⊙Dr.-Wirth-Platz;Bücherregal;;
Bayern;;Hof (Saale);⊙Botanischer Garten;Bücherschrank;Zugänglich während der Öffnungszeiten des Botanischen Gartens;
Bayern;;Hofheim in Unterfranken;⊙Hauptstraße 12, Maya’s Café und Unverpacktladen (im Cafe);Bücherregal;Geöffnet Mittwoch – Sonntag von 11 bis 18 Uhr, Regal befindet sich im Café;
Bayern;;Kahl am Main;⊙Hinter`m Rathaus nähe Wasserturm;Telefonzelle;offener Bücherschrank 24/7;
Bayern;;Kammerstein;⊙Rathausplatz (seitlich der Feuerwehr) im Kammersteiner Kultur-Kasten;Weißes „Billy“-Regal;Geöffnet außer an kritischen Tagen (Walpurgisnacht, Halloween);
Bayern;;Karlstadt;⊙Marktplatz;Telefonzelle;Offener Bücherschrank am Marktplatz;
Bayern;;Karlstein-Dettingen;⊙Hahnenkammstraße;Telefonzelle;gegenüber Metzgerei, offener Bücherschrank 24/7;
Bayern;;Karlstein-Großwelzheim;⊙Hauptstraße;Telefonzelle;"gegenüber Bäckerei; offener Bücherschrank 24/7";
Bayern;;Kist;⊙Am Friedhof 1;Bücherschrank;Der von der örtlichen Bücherei betreute Offene Bücherschrank im Wartehäuschen derNVM-Bushaltestelle „Altertheimer Straße“ befindet sich im Eigentum der Gemeinde und stand ursprünglich bis Oktober 2023 im Hof der Bücherei, bevor er wegen Umbauarbeiten am aktuellen (Stand Mitte März 2025) Standort aufgestellt wurde.[17];
Bayern;;Kleinschwarzenlohe;⊙Rangauhalle;Telefonzelle;Offener Bücherschrank;
Bayern;;Kitzingen;⊙Schrannenstr. 35;Offener Bücherschrank;Bürgerzentrum Kitzingen[18];
Bayern;;Köditz;⊙Bücherschrank im Park Köditz;Bücherschrank;Jederzeit zugänglich;
Bayern;;Kronach;⊙Marienplatz;BOKX 01 COR-TEN-Stahl/ESG;Gefördert durch den Lions Club;
Bayern;;Kulmbach;⊙Holzmarkt;Vitrine;Gefördert durch denLions Club;
Bayern;;Lauf a.d. Pegnitz;"⊙Ecke Höllgasse/Johannisstraße; an der Pegnitzbrücke mit Schlossblick";Bücherschrank;betreut von den Altstadtfreunden Lauf;
Bayern;;Laufach;⊙gegenüber Rathaus;Telefonzelle;bestückt durch die katholische öffentliche Bücherei Laufach[20];
Bayern;;Leidersbach;⊙Nähe Bücherei;Telefonzelle;;
Bayern;;Leupoldsgrün;⊙Am Anger / Angerstraße;Stahlschrank;;
Bayern;;Lichtenberg;⊙Nailaer Straße 2;Bücherschrank;;
Bayern;;Lichtenfels;⊙Marktplatz, Nähe Floriansbrunnen;Bücherschrank;;
Bayern;;Lohr am Main;⊙Stadtpark;Telefonzelle;;
Bayern;;Ludwigsstadt;⊙Marktplatz, Ecke Rathausgäßlein;BOKX 01 COR-TEN-Stahl/ESG;Gefördert durch den Lions Club;
Bayern;;Mainaschaff;⊙An der Senne(vor dem evangelischen Gemeindezentrum);Bücherschrank;betreut von der Frauen-Union Mainaschaff;
Bayern;;Marktbreit;⊙imSchloss;Bücherkiste, Bücherständer;"zu den Öffnungszeiten des Schlosses; Gaststätte im Erdgeschoss";
Bayern;;Marktbreit, OrtsteilGnodstadt;⊙Hauptstraße 14;Bücherschrank;24 h geöffnet, barrierefreier Zugang;
Bayern;;Marktgraitz;Koordinaten fehlen! Hilf mit.in der „Loggia“ am Marktplatz;Holz-Bücherschrank mit Glastüren;[21][22];
Bayern;;Marktheidenfeld;⊙Busbahnhof Adenauerplatz[23];Ehemalige Schließfächer;„Buchbahnhof“;
Bayern;;Marktheidenfeld;⊙Jugendzentrum MainHaus, Lengfurter Straße 26;Bücherschrank;24 h geöffnet, barrierefreier Zugang, unteres Fach für Kinder- und Jugendliteratur[24];
Bayern;;Miltenberg;⊙Hauptstraße 58 (Engelplatz)[25];Metallschrank mit Glas;;
Bayern;;Naila;⊙Marktplatz 8, neben dem Rathaus;Bücherregal;Im Foyer der m8-Diakonie am Marktplatz, Montag bis Donnerstag ganztägig geöffnet, Freitag unregelmäßig besetzt;
Bayern;;Naila;⊙Albin-Klöber-Straße 11;Telefonzelle;Vor der Grundschule;
Bayern;;Neustadt bei Coburg;⊙Arnoldplatz;Metallschrank verglast;Öffentlicher Bücherschrank mit Kinderfach[26];
Bayern;;Nürnberg-Altenfurt Nord;⊙TSV Altenfurt;Bücherregal;;
Bayern;;Nürnberg-Altstadt (St. Sebald);⊙Egidienplatz;Bücherschrank;Aufgestellt von der Bürgerstiftung Nürnberg;
Bayern;;Nürnberg-Bärenschanze;⊙Veit-Stoß-Platz;Bücherregal;Aufgestellt von der Bürgerstiftung Nürnberg;
Bayern;;Nürnberg-Dutzendteich;⊙Eingangsbereich des Gutmann am Dutzendteich;Bücherregal;nur zu den Öffnungszeiten zugänglich;
Bayern;;Nürnberg-St. Johannis;⊙Bielingplatz;Vitrine;Aufgestellt von der Bürgerstiftung Nürnberg;
Bayern;;Nürnberg-Reichelsdorf;⊙B2 Busshaltestelle;Vitrine;;
Bayern;;Nürnberg-Schniegling;⊙Kriegsopfersiedlung, Dorfplatz in der Pfandäckerstraße 18, Ecke Leitenfeldstraße 34;Telefonzelle;Öffentlicher Bücherschrank der Siedlervereinigung Nürnberg-Schniegling e. V., rund um die Uhr zugänglich[27];
Bayern;;Nürnberg-Schoppershof;⊙Martin-Richter-Straße;Vitrine;Aufgestellt von der Bürgerstiftung Nürnberg;
Bayern;;Nürnberg Hasenbuck;⊙Frankenstraße 200;Verschenkhaus;Z-Bau;
Bayern;;Obernburg am Main;⊙An der Mainbrücke;Metallschrank;LeseZeichen – Förderverein der Stadtbücherei Obernburg e. V.[28](Im Februar 2023 durch Brand zerstört, soll wieder aufgebaut werden.)[29];
Bayern;;Pleinfeld;⊙Brückenstraße, unmittelbar am Parkplatz vor der Nepomukbrücke;Bücherschrank;Rund um die Uhr zugänglich;
Bayern;;Pommersfelden;⊙gegenüber der Hauptstraße 12, neben der Kirche in einer Bushaltestelle;Holzregal;Gemeinde Pommersfelden[30];
Bayern;;Riedenheim;Koordinaten fehlen! Hilf mit.Ortsmitte, neben der Linde;Stahlschrank;Finanzierung: gefördert als Teil des Regionalprojekts mit Mitteln des Freistaates Bayern, der Bundesrepublik Deutschland sowie der Arbeitsgemeinschaft Interkommunale Allianz Fränkischer Süden, unterstützt vom Amt für Ländliche Entwicklung[31];
